country,time,cities_w_more_1m_p
bdi,1995,0
bdi,2000,0
bdi,2005,0
bdi,2010,0
bdi,2015,0
bdi,2020,1
bdi,2025,1
bdi,2030,1
bdi,2035,1
bel,1950,1
bel,1955,1
bel,1960,1
bel,1965,1
bel,1970,1
bel,1975,1
bel,1980,1
bel,1985,1
bel,1990,1
bel,1995,1
bel,2000,1
bel,2005,1
bel,2010,1
bel,2015,2
bel,2020,2
bel,2025,2
bel,2030,2
bel,2035,2
ben,1950,0
ben,1955,0
ben,1960,0
ben,1965,0
ben,1970,0
ben,1975,0
ben,1980,0
ben,1985,0
ben,1990,0
ben,1995,0
ben,2000,0
ben,2005,0
ben,2010,0
ben,2015,0
ben,2020,1
ben,2025,1
ben,2030,1
ben,2035,2
bfa,1950,0
bfa,1955,0
bfa,1960,0
bfa,1965,0
bfa,1970,0
bfa,1975,0
bfa,1980,0
bfa,1985,0
bfa,1990,0
bfa,1995,0
bfa,2000,0
bfa,2005,1
bfa,2010,1
bfa,2015,1
bfa,2020,1
bfa,2025,2
bfa,2030,2
bfa,2035,2
bgd,1950,0
bgd,1955,0
bgd,1960,0
bgd,1965,0
bgd,1970,1
bgd,1975,2
bgd,1980,2
bgd,1985,2
bgd,1990,2
bgd,1995,3
bgd,2000,3
bgd,2005,3
bgd,2010,3
bgd,2015,3
bgd,2020,2
bgd,2025,4
bgd,2030,6
bgd,2035,6
bgr,1950,0
bgr,1955,0
bgr,1960,0
bgr,1965,0
bgr,1970,0
bgr,1975,0
bgr,1980,1
bgr,1985,1
bgr,1990,1
bgr,1995,1
bgr,2000,1
bgr,2005,1
bgr,2010,1
bgr,2015,1
bgr,2020,1
bgr,2025,1
bgr,2030,1
bgr,2035,1
bhr,1950,0
bhr,1955,0
bhr,1960,0
bhr,1965,0
bhr,1970,0
bhr,1975,0
bhr,1980,0
bhr,1985,0
bhr,1990,0
bhr,1995,0
bhr,2000,0
bhr,2005,0
bhr,2010,0
bhr,2015,0
bhr,2020,0
bhr,2025,0
bhr,2030,0
bhr,2035,0
bhs,1950,0
bhs,1955,0
bhs,1960,0
bhs,1965,0
bhs,1970,0
bhs,1975,0
bhs,1980,0
bhs,1985,0
bhs,1990,0
bhs,1995,0
bhs,2000,0
bhs,2005,0
bhs,2010,0
bhs,2015,0
bhs,2020,0
bhs,2025,0
bhs,2030,0
bhs,2035,0
bih,1950,0
bih,1955,0
bih,1960,0
bih,1965,0
bih,1970,0
bih,1975,0
bih,1980,0
bih,1985,0
bih,1990,0
bih,1995,0
bih,2000,0
bih,2005,0
bih,2010,0
bih,2015,0
bih,2020,0
bih,2025,0
bih,2030,0
bih,2035,0
blr,1950,0
blr,1955,0
blr,1960,0
blr,1965,0
blr,1970,0
blr,1975,1
blr,1980,1
blr,1985,1
blr,1990,1
blr,1995,1
blr,2000,1
blr,2005,1
blr,2010,1
blr,2015,1
blr,2020,1
blr,2025,1
blr,2030,1
blr,2035,1
blz,1950,0
blz,1955,0
blz,1960,0
blz,1965,0
blz,1970,0
blz,1975,0
blz,1980,0
blz,1985,0
blz,1990,0
blz,1995,0
blz,2000,0
blz,2005,0
blz,2010,0
blz,2015,0
blz,2020,0
blz,2025,0
blz,2030,0
blz,2035,0
bol,1950,0
bol,1955,0
bol,1960,0
bol,1965,0
bol,1970,0
bol,1975,0
bol,1980,0
bol,1985,0
bol,1990,1
bol,1995,1
bol,2000,2
bol,2005,2
bol,2010,2
bol,2015,3
bol,2020,3
bol,2025,3
bol,2030,3
bol,2035,3
bra,1950,2
bra,1955,2
bra,1960,3
bra,1965,5
bra,1970,6
bra,1975,7
bra,1980,10
bra,1985,11
bra,1990,14
bra,1995,15
bra,2000,17
bra,2005,19
bra,2010,21
bra,2015,21
bra,2020,23
bra,2025,23
bra,2030,23
bra,2035,25
brb,1950,0
brb,1955,0
brb,1960,0
brb,1965,0
brb,1970,0
brb,1975,0
brb,1980,0
brb,1985,0
brb,1990,0
brb,1995,0
brb,2000,0
brb,2005,0
brb,2010,0
brb,2015,0
brb,2020,0
brb,2025,0
brb,2030,0
brb,2035,0
brn,1950,0
brn,1955,0
brn,1960,0
brn,1965,0
brn,1970,0
brn,1975,0
brn,1980,0
brn,1985,0
brn,1990,0
brn,1995,0
brn,2000,0
brn,2005,0
brn,2010,0
brn,2015,0
brn,2020,0
brn,2025,0
brn,2030,0
brn,2035,0
btn,1950,0
btn,1955,0
btn,1960,0
btn,1965,0
btn,1970,0
btn,1975,0
btn,1980,0
btn,1985,0
btn,1990,0
btn,1995,0
btn,2000,0
btn,2005,0
btn,2010,0
btn,2015,0
btn,2020,0
btn,2025,0
btn,2030,0
btn,2035,0
bwa,1950,0
bwa,1955,0
bwa,1960,0
bwa,1965,0
bwa,1970,0
bwa,1975,0
bwa,1980,0
bwa,1985,0
bwa,1990,0
bwa,1995,0
bwa,2000,0
bwa,2005,0
bwa,2010,0
bwa,2015,0
bwa,2020,0
bwa,2025,0
bwa,2030,0
bwa,2035,0
caf,1950,0
caf,1955,0
caf,1960,0
caf,1965,0
caf,1970,0
caf,1975,0
caf,1980,0
caf,1985,0
caf,1990,0
caf,1995,0
caf,2000,0
caf,2005,0
caf,2010,0
caf,2015,0
caf,2020,0
caf,2025,1
caf,2030,1
caf,2035,1
can,1950,2
can,1955,2
can,1960,2
can,1965,2
can,1970,3
can,1975,3
can,1980,3
can,1985,3
can,1990,3
can,1995,3
can,2000,4
can,2005,6
can,2010,6
can,2015,6
can,2020,6
can,2025,6
can,2030,6
can,2035,6
che,1950,0
che,1955,0
che,1960,0
che,1965,0
che,1970,0
che,1975,0
che,1980,0
che,1985,0
che,1990,1
che,1995,1
che,2000,1
che,2005,1
che,2010,1
che,2015,1
che,2020,1
che,2025,1
che,2030,1
che,2035,1
chl,1950,1
chl,1955,1
chl,1960,1
chl,1965,1
chl,1970,1
chl,1975,1
chl,1980,1
chl,1985,1
chl,1990,1
chl,1995,1
chl,2000,1
chl,2005,1
chl,2010,1
chl,2015,1
chl,2020,1
chl,2025,2
chl,2030,2
chl,2035,2
chn,1950,8
chn,1955,10
chn,1960,12
chn,1965,13
chn,1970,14
chn,1975,15
chn,1980,18
chn,1985,23
chn,1990,34
chn,1995,45
chn,2000,64
chn,2005,71
chn,2010,86
chn,2015,109
chn,2020,134
chn,2025,162
chn,2030,173
chn,2035,183
civ,1950,0
civ,1955,0
civ,1960,0
civ,1965,0
civ,1970,0
civ,1975,0
civ,1980,1
civ,1985,1
civ,1990,1
civ,1995,1
civ,2000,1
civ,2005,1
civ,2010,1
civ,2015,1
civ,2020,1
civ,2025,1
civ,2030,1
civ,2035,1
cmr,1950,0
cmr,1955,0
cmr,1960,0
cmr,1965,0
cmr,1970,0
cmr,1975,0
cmr,1980,0
cmr,1985,0
cmr,1990,0
cmr,1995,2
cmr,2000,2
cmr,2005,2
cmr,2010,2
cmr,2015,2
cmr,2020,2
cmr,2025,2
cmr,2030,2
cmr,2035,2
cod,1950,0
cod,1955,0
cod,1960,0
cod,1965,0
cod,1970,1
cod,1975,1
cod,1980,1
cod,1985,1
cod,1990,1
cod,1995,1
cod,2000,3
cod,2005,3
cod,2010,3
cod,2015,5
cod,2020,6
cod,2025,7
cod,2030,9
cod,2035,11
cog,1950,0
cog,1955,0
cog,1960,0
cog,1965,0
cog,1970,0
cog,1975,0
cog,1980,0
cog,1985,0
cog,1990,0
cog,1995,0
cog,2000,1
cog,2005,1
cog,2010,1
cog,2015,2
cog,2020,2
cog,2025,2
cog,2030,2
cog,2035,2
col,1950,0
col,1955,0
col,1960,1
col,1965,1
col,1970,2
col,1975,3
col,1980,3
col,1985,4
col,1990,4
col,1995,4
col,2000,4
col,2005,4
col,2010,5
col,2015,5
col,2020,6
col,2025,6
col,2030,7
col,2035,7
com,1950,0
com,1955,0
com,1960,0
com,1965,0
com,1970,0
com,1975,0
com,1980,0
com,1985,0
com,1990,0
com,1995,0
com,2000,0
com,2005,0
com,2010,0
com,2015,0
com,2020,0
com,2025,0
com,2030,0
com,2035,0
cpv,1950,0
cpv,1955,0
cpv,1960,0
cpv,1965,0
cpv,1970,0
cpv,1975,0
cpv,1980,0
cpv,1985,0
cpv,1990,0
cpv,1995,0
cpv,2000,0
cpv,2005,0
cpv,2010,0
cpv,2015,0
cpv,2020,0
cpv,2025,0
cpv,2030,0
cpv,2035,0
cri,1950,0
cri,1955,0
cri,1960,0
cri,1965,0
cri,1970,0
cri,1975,0
cri,1980,0
cri,1985,0
cri,1990,0
cri,1995,0
cri,2000,1
cri,2005,1
cri,2010,1
cri,2015,1
cri,2020,1
cri,2025,1
cri,2030,1
cri,2035,1
cub,1950,1
cub,1955,1
cub,1960,1
cub,1965,1
cub,1970,1
cub,1975,1
cub,1980,1
cub,1985,1
cub,1990,1
cub,1995,1
cub,2000,1
cub,2005,1
cub,2010,1
cub,2015,1
cub,2020,1
cub,2025,1
cub,2030,1
cub,2035,1
cyp,1950,0
cyp,1955,0
cyp,1960,0
cyp,1965,0
cyp,1970,0
cyp,1975,0
cyp,1980,0
cyp,1985,0
cyp,1990,0
cyp,1995,0
cyp,2000,0
cyp,2005,0
cyp,2010,0
cyp,2015,0
cyp,2020,0
cyp,2025,0
cyp,2030,0
cyp,2035,0
cze,1950,0
cze,1955,0
cze,1960,1
cze,1965,1
cze,1970,1
cze,1975,1
cze,1980,1
cze,1985,1
cze,1990,1
cze,1995,1
cze,2000,1
cze,2005,1
cze,2010,1
cze,2015,1
cze,2020,1
cze,2025,1
cze,2030,1
cze,2035,1
deu,1950,2
deu,1955,2
deu,1960,3
deu,1965,3
deu,1970,3
deu,1975,3
deu,1980,3
deu,1985,3
deu,1990,3
deu,1995,3
deu,2000,3
deu,2005,3
deu,2010,4
deu,2015,4
deu,2020,4
deu,2025,4
deu,2030,4
deu,2035,4
dji,1950,0
dji,1955,0
dji,1960,0
dji,1965,0
dji,1970,0
dji,1975,0
dji,1980,0
dji,1985,0
dji,1990,0
dji,1995,0
dji,2000,0
dji,2005,0
dji,2010,0
dji,2015,0
dji,2020,0
dji,2025,0
dji,2030,0
dji,2035,0
dnk,1950,1
dnk,1955,1
dnk,1960,1
dnk,1965,1
dnk,1970,1
dnk,1975,1
dnk,1980,1
dnk,1985,1
dnk,1990,1
dnk,1995,1
dnk,2000,1
dnk,2005,1
dnk,2010,1
dnk,2015,1
dnk,2020,1
dnk,2025,1
dnk,2030,1
dnk,2035,1
dom,1950,0
dom,1955,0
dom,1960,0
dom,1965,0
dom,1970,0
dom,1975,0
dom,1980,1
dom,1985,1
dom,1990,1
dom,1995,1
dom,2000,1
dom,2005,1
dom,2010,1
dom,2015,1
dom,2020,1
dom,2025,1
dom,2030,1
dom,2035,1
dza,1950,0
dza,1955,0
dza,1960,0
dza,1965,1
dza,1970,1
dza,1975,1
dza,1980,1
dza,1985,1
dza,1990,1
dza,1995,1
dza,2000,1
dza,2005,1
dza,2010,1
dza,2015,1
dza,2020,1
dza,2025,1
dza,2030,2
dza,2035,2
ecu,1950,0
ecu,1955,0
ecu,1960,0
ecu,1965,0
ecu,1970,0
ecu,1975,0
ecu,1980,1
ecu,1985,1
ecu,1990,2
ecu,1995,2
ecu,2000,2
ecu,2005,2
ecu,2010,2
ecu,2015,2
ecu,2020,2
ecu,2025,2
ecu,2030,2
ecu,2035,2
egy,1950,2
egy,1955,2
egy,1960,2
egy,1965,2
egy,1970,2
egy,1975,2
egy,1980,2
egy,1985,2
egy,1990,2
egy,1995,2
egy,2000,2
egy,2005,2
egy,2010,2
egy,2015,2
egy,2020,2
egy,2025,2
egy,2030,2
egy,2035,2
eri,1950,0
eri,1955,0
eri,1960,0
eri,1965,0
eri,1970,0
eri,1975,0
eri,1980,0
eri,1985,0
eri,1990,0
eri,1995,0
eri,2000,0
eri,2005,0
eri,2010,0
eri,2015,0
eri,2020,0
eri,2025,1
eri,2030,1
eri,2035,1
esp,1950,2
esp,1955,2
esp,1960,2
esp,1965,2
esp,1970,2
esp,1975,2
esp,1980,2
esp,1985,2
esp,1990,2
esp,1995,2
esp,2000,2
esp,2005,2
esp,2010,2
esp,2015,2
esp,2020,2
esp,2025,2
esp,2030,2
esp,2035,2
est,1950,0
est,1955,0
est,1960,0
est,1965,0
est,1970,0
est,1975,0
est,1980,0
est,1985,0
est,1990,0
est,1995,0
est,2000,0
est,2005,0
est,2010,0
est,2015,0
est,2020,0
est,2025,0
est,2030,0
est,2035,0
eth,1950,0
eth,1955,0
eth,1960,0
eth,1965,0
eth,1970,0
eth,1975,0
eth,1980,1
eth,1985,1
eth,1990,1
eth,1995,1
eth,2000,1
eth,2005,1
eth,2010,1
eth,2015,1
eth,2020,1
eth,2025,1
eth,2030,1
eth,2035,1
fin,1950,0
fin,1955,0
fin,1960,0
fin,1965,0
fin,1970,0
fin,1975,0
fin,1980,0
fin,1985,0
fin,1990,0
fin,1995,0
fin,2000,1
fin,2005,1
fin,2010,1
fin,2015,1
fin,2020,1
fin,2025,1
fin,2030,1
fin,2035,1
fji,1950,0
fji,1955,0
fji,1960,0
fji,1965,0
fji,1970,0
fji,1975,0
fji,1980,0
fji,1985,0
fji,1990,0
fji,1995,0
fji,2000,0
fji,2005,0
fji,2010,0
fji,2015,0
fji,2020,0
fji,2025,0
fji,2030,0
fji,2035,0
fra,1950,1
fra,1955,1
fra,1960,1
fra,1965,3
fra,1970,3
fra,1975,3
fra,1980,3
fra,1985,3
fra,1990,3
fra,1995,3
fra,2000,4
fra,2005,4
fra,2010,4
fra,2015,4
fra,2020,5
fra,2025,6
fra,2030,6
fra,2035,7
fsm,1950,0
fsm,1955,0
fsm,1960,0
fsm,1965,0
fsm,1970,0
fsm,1975,0
fsm,1980,0
fsm,1985,0
fsm,1990,0
fsm,1995,0
fsm,2000,0
fsm,2005,0
fsm,2010,0
fsm,2015,0
fsm,2020,0
fsm,2025,0
fsm,2030,0
fsm,2035,0
gab,1950,0
gab,1955,0
gab,1960,0
gab,1965,0
gab,1970,0
gab,1975,0
gab,1980,0
gab,1985,0
gab,1990,0
gab,1995,0
gab,2000,0
gab,2005,0
gab,2010,0
gab,2015,0
gab,2020,0
gab,2025,0
gab,2030,0
gab,2035,1
gbr,1950,6
gbr,1955,6
gbr,1960,6
gbr,1965,6
gbr,1970,6
gbr,1975,6
gbr,1980,6
gbr,1985,5
gbr,1990,5
gbr,1995,5
gbr,2000,5
gbr,2005,5
gbr,2010,5
gbr,2015,5
gbr,2020,5
gbr,2025,5
gbr,2030,6
gbr,2035,6
geo,1950,0
geo,1955,0
geo,1960,0
geo,1965,0
geo,1970,0
geo,1975,0
geo,1980,1
geo,1985,1
geo,1990,1
geo,1995,1
geo,2000,1
geo,2005,1
geo,2010,1
geo,2015,1
geo,2020,1
geo,2025,1
geo,2030,1
geo,2035,1
gha,1950,0
gha,1955,0
gha,1960,0
gha,1965,0
gha,1970,0
gha,1975,0
gha,1980,0
gha,1985,1
gha,1990,1
gha,1995,1
gha,2000,2
gha,2005,2
gha,2010,2
gha,2015,2
gha,2020,2
gha,2025,3
gha,2030,3
gha,2035,4
gin,1950,0
gin,1955,0
gin,1960,0
gin,1965,0
gin,1970,0
gin,1975,0
gin,1980,0
gin,1985,0
gin,1990,0
gin,1995,1
gin,2000,1
gin,2005,1
gin,2010,1
gin,2015,1
gin,2020,1
gin,2025,1
gin,2030,1
gin,2035,1
gmb,1950,0
gmb,1955,0
gmb,1960,0
gmb,1965,0
gmb,1970,0
gmb,1975,0
gmb,1980,0
gmb,1985,0
gmb,1990,0
gmb,1995,0
gmb,2000,0
gmb,2005,0
gmb,2010,0
gmb,2015,0
gmb,2020,0
gmb,2025,0
gmb,2030,0
gmb,2035,0
gnb,1950,0
gnb,1955,0
gnb,1960,0
gnb,1965,0
gnb,1970,0
gnb,1975,0
gnb,1980,0
gnb,1985,0
gnb,1990,0
gnb,1995,0
gnb,2000,0
gnb,2005,0
gnb,2010,0
gnb,2015,0
gnb,2020,0
gnb,2025,0
gnb,2030,0
gnb,2035,0
gnq,1950,0
gnq,1955,0
gnq,1960,0
gnq,1965,0
gnq,1970,0
gnq,1975,0
gnq,1980,0
gnq,1985,0
gnq,1990,0
gnq,1995,0
gnq,2000,0
gnq,2005,0
gnq,2010,0
gnq,2015,0
gnq,2020,0
gnq,2025,0
gnq,2030,0
gnq,2035,0
grc,1950,1
grc,1955,1
grc,1960,1
grc,1965,1
grc,1970,1
grc,1975,1
grc,1980,1
grc,1985,1
grc,1990,1
grc,1995,1
grc,2000,1
grc,2005,1
grc,2010,1
grc,2015,1
grc,2020,1
grc,2025,1
grc,2030,1
grc,2035,1
grd,1950,0
grd,1955,0
grd,1960,0
grd,1965,0
grd,1970,0
grd,1975,0
grd,1980,0
grd,1985,0
grd,1990,0
grd,1995,0
grd,2000,0
grd,2005,0
grd,2010,0
grd,2015,0
grd,2020,0
grd,2025,0
grd,2030,0
grd,2035,0
gtm,1950,0
gtm,1955,0
gtm,1960,0
gtm,1965,0
gtm,1970,0
gtm,1975,1
gtm,1980,1
gtm,1985,1
gtm,1990,1
gtm,1995,1
gtm,2000,1
gtm,2005,1
gtm,2010,1
gtm,2015,1
gtm,2020,1
gtm,2025,1
gtm,2030,1
gtm,2035,1
guy,1950,0
guy,1955,0
guy,1960,0
guy,1965,0
guy,1970,0
guy,1975,0
guy,1980,0
guy,1985,0
guy,1990,0
guy,1995,0
guy,2000,0
guy,2005,0
guy,2010,0
guy,2015,0
guy,2020,0
guy,2025,0
guy,2030,0
guy,2035,0
hkg,1950,1
hkg,1955,1
hkg,1960,1
hkg,1965,1
hkg,1970,1
hkg,1975,1
hkg,1980,1
hkg,1985,1
hkg,1990,1
hkg,1995,1
hkg,2000,1
hkg,2005,1
hkg,2010,1
hkg,2015,1
hkg,2020,1
hkg,2025,1
hkg,2030,1
hkg,2035,1
hnd,1950,0
hnd,1955,0
hnd,1960,0
hnd,1965,0
hnd,1970,0
hnd,1975,0
hnd,1980,0
hnd,1985,0
hnd,1990,0
hnd,1995,0
hnd,2000,0
hnd,2005,0
hnd,2010,1
hnd,2015,1
hnd,2020,1
hnd,2025,2
hnd,2030,2
hnd,2035,2
hrv,1950,0
hrv,1955,0
hrv,1960,0
hrv,1965,0
hrv,1970,0
hrv,1975,0
hrv,1980,0
hrv,1985,0
hrv,1990,0
hrv,1995,0
hrv,2000,0
hrv,2005,0
hrv,2010,0
hrv,2015,0
hrv,2020,0
hrv,2025,0
hrv,2030,0
hrv,2035,0
hti,1950,0
hti,1955,0
hti,1960,0
hti,1965,0
hti,1970,0
hti,1975,0
hti,1980,0
hti,1985,0
hti,1990,1
hti,1995,1
hti,2000,1
hti,2005,1
hti,2010,1
hti,2015,1
hti,2020,1
hti,2025,1
hti,2030,1
hti,2035,1
hun,1950,1
hun,1955,1
hun,1960,1
hun,1965,1
hun,1970,1
hun,1975,1
hun,1980,1
hun,1985,1
hun,1990,1
hun,1995,1
hun,2000,1
hun,2005,1
hun,2010,1
hun,2015,1
hun,2020,1
hun,2025,1
hun,2030,1
hun,2035,1
idn,1950,1
idn,1955,1
idn,1960,1
idn,1965,3
idn,1970,3
idn,1975,3
idn,1980,5
idn,1985,5
idn,1990,6
idn,1995,8
idn,2000,10
idn,2005,10
idn,2010,10
idn,2015,13
idn,2020,16
idn,2025,18
idn,2030,19
idn,2035,19
ind,1950,5
ind,1955,6
ind,1960,7
ind,1965,8
ind,1970,9
ind,1975,10
ind,1980,10
ind,1985,15
ind,1990,24
ind,1995,26
ind,2000,36
ind,2005,41
ind,2010,48
ind,2015,59
ind,2020,63
ind,2025,65
ind,2030,71
ind,2035,78
irl,1950,0
irl,1955,0
irl,1960,0
irl,1965,0
irl,1970,0
irl,1975,0
irl,1980,0
irl,1985,0
irl,1990,0
irl,1995,0
irl,2000,0
irl,2005,1
irl,2010,1
irl,2015,1
irl,2020,1
irl,2025,1
irl,2030,1
irl,2035,1
irn,1950,1
irn,1955,1
irn,1960,1
irn,1965,1
irn,1970,1
irn,1975,1
irn,1980,1
irn,1985,2
irn,1990,4
irn,1995,5
irn,2000,6
irn,2005,6
irn,2010,8
irn,2015,8
irn,2020,9
irn,2025,9
irn,2030,9
irn,2035,9
irq,1950,0
irq,1955,0
irq,1960,1
irq,1965,1
irq,1970,1
irq,1975,1
irq,1980,1
irq,1985,1
irq,1990,1
irq,1995,1
irq,2000,2
irq,2005,2
irq,2010,3
irq,2015,3
irq,2020,4
irq,2025,5
irq,2030,6
irq,2035,8
isl,1950,0
isl,1955,0
isl,1960,0
isl,1965,0
isl,1970,0
isl,1975,0
isl,1980,0
isl,1985,0
isl,1990,0
isl,1995,0
isl,2000,0
isl,2005,0
isl,2010,0
isl,2015,0
isl,2020,0
isl,2025,0
isl,2030,0
isl,2035,0
isr,1950,0
isr,1955,0
isr,1960,0
isr,1965,0
isr,1970,1
isr,1975,1
isr,1980,1
isr,1985,1
isr,1990,1
isr,1995,1
isr,2000,1
isr,2005,1
isr,2010,2
isr,2015,2
isr,2020,2
isr,2025,2
isr,2030,3
isr,2035,3
ita,1950,4
ita,1955,4
ita,1960,4
ita,1965,4
ita,1970,4
ita,1975,4
ita,1980,4
ita,1985,4
ita,1990,4
ita,1995,4
ita,2000,4
ita,2005,4
ita,2010,4
ita,2015,4
ita,2020,4
ita,2025,4
ita,2030,4
ita,2035,4
jam,1950,0
jam,1955,0
jam,1960,0
jam,1965,0
jam,1970,0
jam,1975,0
jam,1980,0
jam,1985,0
jam,1990,0
jam,1995,0
jam,2000,0
jam,2005,0
jam,2010,0
jam,2015,0
jam,2020,0
jam,2025,0
jam,2030,0
jam,2035,0
jor,1950,0
jor,1955,0
jor,1960,0
jor,1965,0
jor,1970,0
jor,1975,0
jor,1980,0
jor,1985,0
jor,1990,0
jor,1995,0
jor,2000,1
jor,2005,1
jor,2010,1
jor,2015,1
jor,2020,1
jor,2025,1
jor,2030,1
jor,2035,1
jpn,1950,4
jpn,1955,4
jpn,1960,5
jpn,1965,7
jpn,1970,7
jpn,1975,7
jpn,1980,7
jpn,1985,7
jpn,1990,8
jpn,1995,8
jpn,2000,8
jpn,2005,8
jpn,2010,8
jpn,2015,8
jpn,2020,8
jpn,2025,8
jpn,2030,8
jpn,2035,8
kaz,1950,0
kaz,1955,0
kaz,1960,0
kaz,1965,0
kaz,1970,0
kaz,1975,0
kaz,1980,0
kaz,1985,1
kaz,1990,1
kaz,1995,1
kaz,2000,1
kaz,2005,1
kaz,2010,1
kaz,2015,1
kaz,2020,3
kaz,2025,3
kaz,2030,3
kaz,2035,3
ken,1950,0
ken,1955,0
ken,1960,0
ken,1965,0
ken,1970,0
ken,1975,0
ken,1980,0
ken,1985,1
ken,1990,1
ken,1995,1
ken,2000,1
ken,2005,1
ken,2010,1
ken,2015,2
ken,2020,2
ken,2025,2
ken,2030,2
ken,2035,2
kgz,1950,0
kgz,1955,0
kgz,1960,0
kgz,1965,0
kgz,1970,0
kgz,1975,0
kgz,1980,0
kgz,1985,0
kgz,1990,0
kgz,1995,0
kgz,2000,0
kgz,2005,0
kgz,2010,0
kgz,2015,0
kgz,2020,1
kgz,2025,1
kgz,2030,1
kgz,2035,1
khm,1950,0
khm,1955,0
khm,1960,0
khm,1965,0
khm,1970,0
khm,1975,0
khm,1980,0
khm,1985,0
khm,1990,0
khm,1995,0
khm,2000,1
khm,2005,1
khm,2010,1
khm,2015,1
khm,2020,1
khm,2025,1
khm,2030,1
khm,2035,1
kir,1950,0
kir,1955,0
kir,1960,0
kir,1965,0
kir,1970,0
kir,1975,0
kir,1980,0
kir,1985,0
kir,1990,0
kir,1995,0
kir,2000,0
kir,2005,0
kir,2010,0
kir,2015,0
kir,2020,0
kir,2025,0
kir,2030,0
kir,2035,0
kor,1950,1
kor,1955,2
kor,1960,2
kor,1965,2
kor,1970,3
kor,1975,3
kor,1980,4
kor,1985,4
kor,1990,6
kor,1995,7
kor,2000,7
kor,2005,8
kor,2010,8
kor,2015,8
kor,2020,10
kor,2025,10
kor,2030,10
kor,2035,10
kwt,1950,0
kwt,1955,0
kwt,1960,0
kwt,1965,0
kwt,1970,0
kwt,1975,0
kwt,1980,0
kwt,1985,1
kwt,1990,1
kwt,1995,1
kwt,2000,1
kwt,2005,1
kwt,2010,1
kwt,2015,1
kwt,2020,1
kwt,2025,1
kwt,2030,1
kwt,2035,1
lao,1950,0
lao,1955,0
lao,1960,0
lao,1965,0
lao,1970,0
lao,1975,0
lao,1980,0
lao,1985,0
lao,1990,0
lao,1995,0
lao,2000,0
lao,2005,0
lao,2010,0
lao,2015,0
lao,2020,0
lao,2025,0
lao,2030,0
lao,2035,0
lbn,1950,0
lbn,1955,0
lbn,1960,0
lbn,1965,0
lbn,1970,0
lbn,1975,1
lbn,1980,1
lbn,1985,1
lbn,1990,1
lbn,1995,1
